Player Name	Player Team	Player Position	DS Rank	CBS: Redraft 1 PPR ADP	CBS: Redraft 1 PPR ADP Market Index	Consensus: Redraft 1 PPR ADP	Consensus: Redraft 1 PPR ADP Market Index	Sleeper: Redraft 1 PPR ADP	Sleeper: Redraft 1 PPR ADP Market Index
Puka Nacua	LAR	WR	1	1.4	3	1.4	3	1.4	3
Ja'Marr Chase	CIN	WR	2	1.3	1	1.3	1	1.3	1
Jahmyr Gibbs	DET	RB	3	1.1	-2	1.1	-2	1.1	-2
Bijan Robinson	ATL	RB	4	1.2	-2	1.2	-2	1.2	-2
Christian McCaffrey	SF	RB	5	1.7	2	1.5	0	1.5	0
Jaxon Smith-Njigba	SEA	WR	6	1.6	0	1.6	0	1.6	0
Amon-Ra St. Brown	DET	WR	7	1.8	1	1.8	1	1.8	1
CeeDee Lamb	DAL	WR	8	2.1	5	1.12	4	1.9	1
Justin Jefferson	MIN	WR	9	2.4	7	1.11	2	1.1	1
Jonathan Taylor	IND	RB	10	1.5	-5	1.7	-3	1.7	-3
Ashton Jeanty	LVR	RB	11	1.11	0	1.9	-2	2.2	3
James Cook	BUF	RB	12	1.1	-2	1.1	-2	1.12	0
A.J. Brown	NE	WR	13	2.11	10	2.6	5	2.7	6
Drake London	ATL	WR	14	2.5	3	2.5	3	2.1	-1
Nico Collins	HOU	WR	15	3.1	10	3.1	10	3.2	11
Rashee Rice	KC	WR	16	2.9	5	3.2	10	2.1	6
Saquon Barkley	PHI	RB	17	2.2	-3	2.4	-1	2.3	-2
Kenneth Walker III	KC	RB	18	2.1	4	2.7	1	2.11	5
De'Von Achane	MIA	RB	19	1.9	-10	2.1	-6	1.11	-8
George Pickens	DAL	WR	20	2.7	-1	2.11	3	2.12	4
Chase Brown	CIN	RB	21	1.12	-9	2.2	-7	2.6	-3
Omarion Hampton	LAC	RB	22	2.6	-4	2.3	-7	2.5	-5
Brock Bowers	LVR	TE	23	3.2	3	2.8	-3	2.9	-2
Josh Allen	BUF	QB	24	2.8	-4	3.4	4	3.6	6
Trey McBride	ARI	TE	25	3.3	2	2.9	-4	2.4	-9
Derrick Henry	BAL	RB	26	2.3	-11	2.1	-4	3.1	-1
Malik Nabers	NYG	WR	27	3.9	6	3.6	3	3.4	1
Zay Flowers	BAL	WR	28	4.1	9	4.1	9	4.7	15
Jeremiyah Love	ARI	RB	29	3.6	1	2.12	-5	2.8	-9
Chris Olave	NO	WR	30	3.5	-1	3.3	-3	3.3	-3
DeVonta Smith	PHI	WR	31	3.12	5	3.1	3	4.8	13
Tee Higgins	CIN	WR	32	4.2	6	4.2	6	3.1	2
Garrett Wilson	NYJ	WR	33	4.1	13	4.4	7	4.3	6
Josh Jacobs	GB	RB	34	2.12	-10	3.8	-2	3.5	-5
Colston Loveland	CHI	TE	35	4.7	8	4.7	8	4.5	6
Breece Hall	NYJ	RB	36	3.7	-5	3.7	-5	3.8	-4
Jaylen Waddle	DEN	WR	37	5.4	15	4.1	9	4.1	9
Tyler Warren	IND	TE	38	5.5	15	5.5	15	5.2	12
Javonte Williams	DAL	RB	39	3.1	-5	3.9	-6	4.2	-1
Davante Adams	LAR	WR	40	5.8	16	5.3	11	4.11	7
Travis Etienne	NO	RB	41	4.4	-1	3.11	-6	3.11	-6
Emeka Egbuka	TB	WR	42	3.11	-7	4.3	-3	4.9	3
Luther Burden III	CHI	WR	43	5.3	8	4.6	-1	4.4	-3
Kyren Williams	LAR	RB	44	3.4	-16	3.5	-15	3.7	-13
Tetairoa McMillan	CAR	WR	45	4.9	0	3.12	-9	3.12	-9
Christian Watson	GB	WR	46	6.5	19	6.1	15	6.7	21
Ladd McConkey	LAC	WR	47	4.12	1	4.9	-2	4.6	-5
Lamar Jackson	BAL	QB	48	4.3	-9	4.11	-1	4.1	-11
Terry McLaurin	WAS	WR	49	4.11	-2	5.4	3	5.7	6
Cameron Skattebo	NYG	RB	50	3.8	-18	4.5	-9	5.1	-1
Mike Evans	SF	WR	51	6.2	11	5.11	8	5.9	6
Drake Maye	NE	QB	52	5.1	-3	5.9	5	5.3	-1
Jayden Daniels	WAS	QB	53	5.11	6	6.3	10	5.12	7
D'Andre Swift	CHI	RB	54	4.6	-12	5.8	2	6.4	10
Joe Burrow	CIN	QB	55	5.2	-5	5.1	3	5.8	1
Jalen Hurts	PHI	QB	56	6.9	13	6.7	11	6.5	9
Tucker Kraft	GB	TE	57	7.3	18	6.12	15	6.6	9
David Montgomery	HOU	RB	58	5.9	-1	5.2	-8	5.6	-4
Bucky Irving	TB	RB	59	4.5	-18	4.8	-15	3.9	-26
Jameson Williams	DET	WR	60	5.1	-2	5.7	-5	5.4	-8
Rome Odunze	CHI	WR	61	6.4	3	6.2	1	6.3	2
