Rank	Team	Player	Fantasy Position	Games	ADP	Bye	SOS	InjuryRisk	Floor Proj	Consensus Proj	DS Proj	CeilingProj	3D Value
1	LAR	Puka Nacua	WR	17	1.04	11	-3.10%	51%	290	326	358	393.8	100
2	CIN	Ja'Marr Chase	WR	17	1.03	6	4%	37%	298.2	302	339	399.8	96
3	DET	Jahmyr Gibbs	RB	17	1.01	6	0.90%	54%	292.2	341	352	411.9	96
4	ATL	Bijan Robinson	RB	17	1.02	11	-3.20%	25%	294	347	346	404.7	93
5	SF	Christian McCaffrey	RB	17	1.05	8	0.70%	78%	275	315	331	414.1	88
6	SEA	Jaxon Smith-Njigba	WR	17	1.06	11	-0.10%	39%	286.7	292	315	374.9	84
7	DET	Amon-Ra St. Brown	WR	17	1.08	6	-1%	37%	287.9	283	316	354.3	81
8	DAL	CeeDee Lamb	WR	17	1.12	14	-0.70%	44%	265.2	259	301	361.6	76
9	MIN	Justin Jefferson	WR	17	1.11	6	4.90%	36%	249.7	251	290	377.5	73
10	IND	Jonathan Taylor	RB	17	1.07	13	1.70%	37%	254	302	299	364.6	68
11	LVR	Ashton Jeanty	RB	17	1.09	13	-3.10%	39%	254.9	265	293	369.1	67
12	BUF	James Cook	RB	17	1.1	7	-4.20%	36%	255.1	265	293	360.7	66
13	NE	A.J. Brown	WR	17	2.06	11	-2.50%	61%	234	249	279	342.7	63
14	ATL	Drake London	WR	17	2.05	11	0.40%	73%	254.8	262	277	332.4	63
15	HOU	Nico Collins	WR	17	3.01	8	4.40%	49%	243.7	234	274	334.1	61
16	KC	Rashee Rice	WR	17	3.02	5	-2.60%	74%	209.1	232	283	333.4	60
17	PHI	Saquon Barkley	RB	17	2.04	10	4.40%	35%	232.8	255	268	369.3	58
18	KC	Kenneth Walker III	RB	17	2.07	5	0.60%	34%	225.4	250	268	362.3	56
19	MIA	De'Von Achane	RB	17	2.01	6	0.80%	68%	235	281	270	348.5	55
20	DAL	George Pickens	WR	17	2.11	14	-0.70%	36%	232.9	240	262	327.2	55
21	CIN	Chase Brown	RB	17	2.02	6	-4%	45%	226.7	257	267	349.4	54
22	LAC	Omarion Hampton	RB	17	2.03	7	0.60%	73%	225.4	246	259	362.7	53
23	LVR	Brock Bowers	TE	17	2.08	13	-1%	81%	235.9	234	259	313.7	53
24	BUF	Josh Allen	QB	17	3.04	7	-3.40%	33%	306.9	363	379	439.5	52
25	ARI	Trey McBride	TE	17	2.09	14	-3.60%	46%	235.7	246	253	304.2	50
26	BAL	Derrick Henry	RB	17	2.1	13	-0.10%	33%	223.1	257	262	333.3	50
27	NYG	Malik Nabers	WR	16	3.06	8	3.70%	39%	189.4	196	243	344.8	48
28	BAL	Zay Flowers	WR	17	4.01	13	-0.30%	36%	224.8	218	253	295.6	47
29	ARI	Jeremiyah Love	RB	17	2.12	14	0.10%	34%	218.6	249	243	354.7	46
30	NO	Chris Olave	WR	17	3.03	8	0.90%	75%	216.5	236	252	299.6	46
31	PHI	DeVonta Smith	WR	17	3.1	10	6.60%	50%	222.7	228	242	305	45
32	CIN	Tee Higgins	WR	17	4.02	6	4%	66%	217	219	244	302.3	44
33	NYJ	Garrett Wilson	WR	17	4.04	13	-1%	38%	219.2	228	244	299.6	44
34	GB	Josh Jacobs	RB	17	3.08	11	-2.20%	67%	184.9	241	264	316.9	44
35	CHI	Colston Loveland	TE	17	4.07	10	-3.60%	60%	197.4	223	241	288.9	43
36	NYJ	Breece Hall	RB	17	3.07	13	-2.50%	43%	215.6	233	248	314.8	42
37	DEN	Jaylen Waddle	WR	17	4.1	10	-2.50%	37%	199.4	201	235	300.3	39
38	IND	Tyler Warren	TE	17	5.05	13	1.50%	36%	190	204	229	265.5	38
39	DAL	Javonte Williams	RB	17	3.09	14	2.90%	43%	209.1	225	240	305.3	37
40	LAR	Davante Adams	WR	17	5.03	11	-3.10%	49%	188.9	201	230	290.2	36
41	NO	Travis Etienne	RB	17	3.11	8	1.80%	45%	210.5	214	229	315.8	35
42	TB	Emeka Egbuka	WR	17	4.03	10	2.60%	42%	193.9	200	223	298.6	35
43	CHI	Luther Burden III	WR	17	4.06	10	-2.50%	54%	189.2	194	223	300.4	35
44	LAR	Kyren Williams	RB	17	3.05	11	6.40%	52%	209.6	222	233	302.8	35
45	CAR	Tetairoa McMillan	WR	17	3.12	5	-1.30%	37%	200.9	218	223	290.2	35
46	GB	Christian Watson	WR	17	6.01	11	1.30%	25%	190.1	185	226	289.7	34
47	LAC	Ladd McConkey	WR	17	4.09	7	-2.60%	42%	194.3	215	221	295.9	34
48	BAL	Lamar Jackson	QB	17	4.11	13	1.10%	42%	298.8	328	340	438.1	34
49	WAS	Terry McLaurin	WR	17	5.04	7	-2.40%	37%	194.9	215	219	291.2	33
50	NYG	Cameron Skattebo	RB	17	4.05	8	2.20%	72%	193.1	216	230	303.5	32
51	SF	Mike Evans	WR	17	5.11	8	-3.20%	65%	183.1	192	218	292.1	32
52	NE	Drake Maye	QB	17	5.09	11	-2.80%	35%	295.5	315	340	428	31
53	WAS	Jayden Daniels	QB	17	6.03	7	-0.40%	41%	287.7	315	334	434.8	30
54	CHI	D'Andre Swift	RB	17	5.08	10	-3.60%	42%	194.6	201	221	289.7	29
55	CIN	Joe Burrow	QB	17	5.1	6	3.20%	34%	289.9	311	337	421.3	29
56	PHI	Jalen Hurts	QB	17	6.07	10	8.80%	33%	288.1	313	331	430.5	29
57	GB	Tucker Kraft	TE	17	6.12	11	-3.30%	39%	168	188	200	260	29
58	HOU	David Montgomery	RB	17	5.02	8	2%	85%	180.8	193	210	298.6	28
59	TB	Bucky Irving	RB	17	4.08	10	-2.20%	63%	183.3	202	208	299.9	28
60	DET	Jameson Williams	WR	17	5.07	6	-1%	36%	184.9	189	210	279.5	28
61	CHI	Rome Odunze	WR	17	6.02	10	-2.50%	36%	179.4	187	206	290.8	28
62	BUF	D.J. Moore	WR	17	5.06	7	0.70%	54%	175.9	178	209	282.7	27
63	NE	TreVeyon Henderson	RB	17	4.12	11	-1.90%	64%	174	186	198	314.4	27
64	DET	Sam LaPorta	TE	17	7.11	6	-2%	60%	176.1	190	196	252.4	27
65	CLE	Harold Fannin Jr.	TE	17	6.06	11	3.40%	57%	177.4	192	197	248.3	27
66	JAC	Trevor Lawrence	QB	17	8.05	7	4.50%	34%	279.9	300	329	414.9	26
67	LAC	Justin Herbert	QB	17	8.02	7	-2.80%	36%	280.7	301	326	417.8	26
68	JAC	Parker Washington	WR	17	7.08	7	4%	0%	175.5	178	211	270.7	26
69	CLE	Quinshon Judkins	RB	17	5.01	11	0.60%	48%	181.9	202	200	287.8	26
70	SF	Brock Purdy	QB	17	9.1	8	-4%	36%	278	300	327	415.4	26
71	CHI	Caleb Williams	QB	17	7.05	10	-3.50%	20%	278.6	294	324	421.2	26
72	MIN	Kyler Murray	QB	17	11.06	6	4%	33%	273	281	325	419.3	25
73	DAL	Dak Prescott	QB	17	8.01	14	0.50%	34%	282.7	301	325	412.7	25
74	PIT	Jaylen Warren	RB	17	6.09	9	-2.10%	66%	163.7	183	202	274.9	25
75	NYG	Jaxson Dart	QB	17	8.09	8	4.80%	36%	277.1	300	319	417.3	24
76	JAC	Bhayshul Tuten	RB	17	5.12	7	0.90%	43%	156.9	180	182	304.6	24
77	PIT	D.K. Metcalf	WR	17	7.01	9	-2.60%	36%	174.2	188	207	263.4	24
78	NE	Rhamondre Stevenson	RB	17	7.07	11	-1.90%	64%	164.6	177	191	277.6	24
79	DEN	Bo Nix	QB	17	10.04	10	-3.70%	28%	280.9	290	312	412	23
80	TEN	Carnell Tate	WR	17	6.05	9	5%	40%	166.9	191	196	280.8	22
81	KC	Patrick Mahomes	QB	17	9.06	5	-3.20%	37%	277.7	292	309	416.6	22
82	PIT	Rico Dowdle	RB	17	8.03	9	-2.10%	27%	156.4	170	182	278.3	22
83	TEN	Tony Pollard	RB	17	7.04	9	2.90%	35%	159.3	175	181	273.4	22
84	ARI	Marvin Harrison Jr.	WR	17	6.11	14	-0.80%	55%	172.1	182	196	273.8	22
85	ATL	Kyle Pitts	TE	17	7.02	11	4.80%	53%	170.8	178	186	241.3	21
86	CAR	Chuba Hubbard	RB	17	7.06	5	-6%	36%	148.5	162	177	284.6	21
87	NO	Jordyn Tyson	WR	17	7.09	8	0.90%	45%	163.6	177	195	278.6	21
88	PIT	Michael Pittman Jr.	WR	17	8.12	9	-2.60%	60%	173.4	185	202	258.1	21
89	SEA	Jadarian Price	RB	17	6.04	11	5.60%	29%	144.1	176	170	298.4	21
90	DEN	Courtland Sutton	WR	17	7.03	10	-2.50%	43%	172.7	180	201	259	21
91	GB	Jayden Reed	WR	17	10.02	11	1.30%	36%	166.3	166	198	263.4	20
92	IND	Alec Pierce	WR	17	7.12	13	-0.80%	67%	168.3	179	196	266.2	20
93	MIN	Jordan Addison	WR	17	9.09	6	4.90%	37%	167.3	165	197	263.8	20
94	JAC	Brian Thomas Jr.	WR	17	6.08	7	4%	35%	164.5	171	189	281.7	20
95	DET	Jared Goff	QB	17	10.06	6	-0.90%	23%	278.4	281	303	402.5	20
96	DEN	J.K. Dobbins	RB	17	8.08	10	0.10%	39%	144.9	161	171	269.4	20
97	JAC	Jakobi Meyers	WR	17	9.02	7	4%	37%	168.6	170	194	261.6	19
