Rank	Tier	Running Backs	Team	Bye	Num Experts	ECR	ADP
1		Isiah Pacheco	DET	6	6	48	49
2		Jonah Coleman	DEN	10	6	52	48
3		Alvin Kamara	NO	8	4	45	47
4		Keaton Mitchell	LAC	7	5	49	56
5		Zach Charbonnet	SEA	11	3	47	42
6		James Conner	ARI	14	2	59	55
7		Sean Tucker	TB	10	2	58	60
8		Dylan Sampson	CLE	11	2	50	52
9		Emmett Johnson	KC	5	3	64	53
10		Brian Robinson Jr.	ATL	11	2	53	45
11		Tyjae Spears	TEN	9	2	51	50
12		Nicholas Singleton	TEN	9	2	60	58
13		Emanuel Wilson	SEA	11	1	57	74
14		Demond Claiborne	MIN	6	1	69	70
15		Tank Bigsby	PHI	10	1	54	57
16		Seth McGowan	IND	13	1	85	96
17		Chris Brooks	GB	11	1	81	91
18		LeQuint Allen Jr.	JAC	7	1	83	83
19		Kaelon Black	SF	8	1	88	71
20		MarShawn Lloyd	GB	11	2	63	65
21		George Holani	SEA	11	1	71	69
22		Kaytron Allen	WAS	7	1	61	61
23		Jaylen Wright	MIA	6	1	67	68
24		Ray Davis	BUF	7	1	62	66
