Rank	Tier	Wide Receivers	Team	Bye	Num Experts	ECR	ADP
1		Rashid Shaheed	SEA	11	4	57	53
2		Jalen McMillan	TB	10	4	61	62
3		Stefon Diggs	WAS	7	3	48	52
4		De'Zhaun Stribling	SF	8	3	70	67
5		Denzel Boston	CLE	11	3	59	60
6		Omar Cooper Jr.	NYJ	13	3	58	61
7		Travis Hunter	JAC	7	4	67	59
8		Jalen Nailor	LV	13	4	78	64
9		Ryan Flournoy	DAL	14	2	68	80
10		Antonio Williams	WAS	7	3	81	70
11		Tre' Harris	LAC	7	2	64	74
12		Jaylin Noel	HOU	8	2	65	85
13		Deebo Samuel Sr.	SF	8	1	54	54
14		Adonai Mitchell	NYJ	13	2	63	71
15		Jauan Jennings	MIN	6	1	60	57
16		Tank Dell	HOU	8	1	82	73
17		Isaac TeSlaa	DET	6	1	71	63
18		Dontayvion Wicks	PHI	10	2	74	90
19		Malik Washington	MIA	6	1	77	79
20		Elijah Sarratt	BAL	13	1	86	98
21		Cyrus Allen	KC	5	2	112	99
22		Jerry Jeudy	CLE	11	1	62	68
23		Rashod Bateman	BAL	13	1	79	97
24		Jack Bech	LV	13	1	88	105
